File Name,AOI ID,AOI name,Total Attention %,Engagement,Clarity,Cognitive Demand,Start Attention %,End Attention %,Time Spent,Percentage Seen,Memory,Engagement FRT
calmpautaig,1,Product,39.26272392272949,7.829089057445525,7.6464481484889975,3.0098093507496495,31.53553307056427,36.67738139629364,1.4002972248984964,86.96093254484299,,
calmpautaig,2,Branding,18.349651992321014,2.57485853433609,2.4735671657323834,0.9117784725665485,16.247621178627014,17.247435450553894,0.6237296436057616,58.63192640597996,,
calmpautaig,3,CTA,5.451146885752678,2.181169306486845,2.358801926374435,1.053222165171694,5.360899865627289,9.104673564434052,0.2251421902490966,25.493464614760793,,
calmpautaig,4,marca,11.074129492044449,1.4161183800548314,2.7995823168754574,0.5091401538905899,10.058049112558365,7.4431054294109344,0.39495367222094985,41.672350529255084,,
calmpautaig_frt,1,Product,,,,,,,,,6.9623983860770515,15.677308305049381
calmpautaig_frt,2,Branding,,,,,,,,,3.6655023295584734,6.38653652967434
calmpautaig_frt,3,CTA,,,,,,,,,7.089132116402315,3.3430611818253793
calmpautaig_frt,4,marca,,,,,,,,,4.786081961740799,3.6780333612030534
calmadestatica,1,marca,1.6589803621172905,0.36097361056134103,0.9032516965921968,0.2641254024015663,1.4738032594323158,2.136257104575634,0.06869013645237892,12.934472687325929,,
calmadestatica,2,texto,9.563187509775162,1.8407377752661704,4.259443333521486,1.868609510354192,9.908802807331085,11.868342757225037,0.40137473396592804,37.60051028181791,,
calmadestatica,3,Call To Action,3.6570031195878983,2.468582300320268,2.8575418442487717,0.8300890898867053,2.914366126060486,6.198325380682945,0.18042261699594553,19.723086648891222,,
calmadestatica,4,producto,18.187670409679413,11.00734095007181,10.06936805985868,3.4327305499321428,24.03487116098404,17.58352518081665,0.7794926607405259,58.29979044982267,,
calmadestatica,5,Headline Text,37.95911967754364,12.123763615489006,14.549701052606107,5.162378535849194,30.04056215286255,28.685596585273743,1.492314595587002,85.92385334640207,,
calmadestatica_frt,1,marca,,,,,,,,,1.5667840047986221,2.1279191035389085
calmadestatica_frt,2,texto,,,,,,,,,3.2159055953556326,4.273462359686609
calmadestatica_frt,3,Call To Action,,,,,,,,,6.33701365013619,4.821759119940327
calmadestatica_frt,4,producto,,,,,,,,,5.906089283260994,2.995699279402772
calmadestatica_frt,5,Headline Text,,,,,,,,,2.7055530802046386,3.783982986788224
